NEF FUNDED BUSINESSES — PUBLIC INTEREST ANALYSIS,,,,,,,,,,,
Source: Parliamentary Question 705 (PQ705) — Mr RWC Chance (DA) | Data from dtic.gov.za,,,,,,,,,,,
"Analysis of National Empowerment Fund (NEF) loan, grant, and disbursement data across all 9 South African provinces",,,,,,,,,,,
,,,,,,,,,,,
KEY METRICS,,,,,,,,,,,
Total Companies,Total Jobs Supported,Total Loans (ZAR),Total Grants (ZAR),Total Disbursed (ZAR),Avg Loan per Company,Avg Jobs per Company,Cost per Job (ZAR),,,,
392,"31,654","R3,516,172,591","R194,763,000","R3,596,404,994","R8,969,828",80.8,"R113,616",,,,
,,,,,,,,,,,
PROVINCIAL BREAKDOWN,,,,,,,,,,Province,Jobs
Province,No. of Deals,Total Disbursed (ZAR),Total Jobs,Avg Disbursed/Deal,Avg Jobs/Deal,Cost per Job (ZAR),% of Total Disbursed,% of Total Jobs,,Gauteng,"14,138"
Gauteng,135,"R1,041,268,998","14,138","R7,713,104",104.7,"R73,650",29.0%,44.7%,,KwaZulu-Natal,"8,440"
KwaZulu-Natal,122,"R970,531,000","8,440","R7,955,172",69.2,"R114,992",27.0%,26.7%,,Northern Cape,326
Northern Cape,14,"R641,399,999",326,"R45,814,286",23.3,"R1,967,485",17.8%,1.0%,,Western Cape,"1,363"
Western Cape,31,"R271,905,000","1,363","R8,771,129",44.0,"R199,490",7.6%,4.3%,,Eastern Cape,"1,904"
Eastern Cape,23,"R203,399,997","1,904","R8,843,478",82.8,"R106,828",5.7%,6.0%,,Mpumalanga,"1,098"
Mpumalanga,18,"R150,042,000","1,098","R8,335,667",61.0,"R136,650",4.2%,3.5%,,Limpopo,"1,741"
Limpopo,19,"R132,963,000","1,741","R6,998,053",91.6,"R76,372",3.7%,5.5%,,Free State,"1,881"
Free State,10,"R109,239,000","1,881","R10,923,900",188.1,"R58,075",3.0%,5.9%,,North West,763
North West,20,"R75,656,000",763,"R3,782,800",38.2,"R99,156",2.1%,2.4%,,,
TOTAL,392,"R3,596,404,994","31,654","R9,174,503",80.8,"R113,616",100.0%,100.0%,,,
,,,,,,,,,,,
DEAL SIZE DISTRIBUTION,,,,,,,,,,Province,Cost per Job (ZAR)
Size Bracket,No. of Deals,% of Deals,Total Disbursed (ZAR),% of Disbursed,,,,,,Gauteng,"R73,650"
Under R1m,47,12.0%,"R24,435,000",0.7%,,,,,,KwaZulu-Natal,"R114,992"
R1m - R5m,130,33.2%,"R335,069,999",9.3%,,,,,,Northern Cape,"R1,967,485"
R5m - R10m,106,27.0%,"R746,499,996",20.8%,,,,,,Western Cape,"R199,490"
R10m - R25m,87,22.2%,"R1,175,799,999",32.7%,,,,,,Eastern Cape,"R106,828"
R25m - R50m,20,5.1%,"R703,400,000",19.6%,,,,,,Mpumalanga,"R136,650"
R50m+,2,0.5%,"R611,200,000",17.0%,,,,,,Limpopo,"R76,372"
TOTAL,392,100.0%,"R3,596,404,994",100.0%,,,,,,Free State,"R58,075"
,,,,,,,,,,North West,"R99,156"
GRANTS vs LOANS ANALYSIS,,,,,,,,,,,
Metric,Value,,,,,,,,,,
Companies receiving grants,77,,,,,,,,,,
Companies with loans only (no grant),315,,,,,,,,,,
Total grant amount (ZAR),"R194,763,000",,,,,,,,,,
Total loan amount (ZAR),"R3,516,172,591",,,,,,,,,,
Grant as % of total funding,5.2%,,,,,,,,,,
Average grant size (ZAR),"R2,529,390",,,,,,,,,,
Average loan size (ZAR),"R8,969,828",,,,,,,,,,
,,,,,,,,,,,
TOP 10 LARGEST DISBURSEMENTS — PUBLIC ACCOUNTABILITY,,,,,,,,,,,
These are the largest single allocations of public funds through the NEF.,,,,,,,,,,,
Rank,Company,Province,Disbursed (ZAR),Jobs,Cost per Job (ZAR),,,,,,
1,Khatu Industrial and Chemical,Northern Cape,"R534,000,000",26,"R20,538,462",,,,,,
2,CK Mafutha (Pty) L td,Western Cape,"R77,200,000",4,"R19,300,000",,,,,,
3,Devland Gardens (Pty) Ltd,Gauteng,"R49,000,000",16,"R3,062,500",,,,,,
4,Africa's Best 350 (Pty) Ltd,Eastern Cape,"R44,500,000",442,"R100,679",,,,,,
5,Mandini Group,Gauteng,"R44,400,000",142,"R312,676",,,,,,
